# First line is two numbers 
#     First value is '2', it means 'histogram mode'
#     Second value is 'Emin' of the histogram
# Other lines : 2 columns. 1) energy 2) Bin Width 2) frequency (nb divided by NbEvent)
# Number of bins = 1000
# Content below the first bin: 0
# Content above the last  bin: 0
# Number of events: 36845
2 0
0.0005 0.001 7.8488
0.0015 0.001 3.02853
0.0025 0.001 1.54171
0.0035 0.001 0.836152
0.0045 0.001 0.632532
0.0055 0.001 0.510136
0.0065 0.001 0.41116
0.0075 0.001 0.340706
0.0085 0.001 0.333788
0.0095 0.001 0.285235
0.0105 0.001 0.29276
0.0115 0.001 0.280025
0.0125 0.001 0.236024
0.0135 0.001 0.217335
0.0145 0.001 0.21498
0.0155 0.001 0.199058
0.0165 0.001 0.195256
0.0175 0.001 0.211267
0.0185 0.001 0.215635
0.0195 0.001 0.162687
0.0205 0.001 0.183101
0.0215 0.001 0.165781
0.0225 0.001 0.181217
0.0235 0.001 0.147113
0.0245 0.001 0.220462
0.0255 0.001 0.167794
0.0265 0.001 0.147251
0.0275 0.001 0.169148
0.0285 0.001 0.143344
0.0295 0.001 0.165369
0.0305 0.001 0.165465
0.0315 0.001 0.169931
0.0325 0.001 0.138724
0.0335 0.001 0.15075
0.0345 0.001 0.115368
0.0355 0.001 0.160303
0.0365 0.001 0.126518
0.0375 0.001 0.159953
0.0385 0.001 0.113676
0.0395 0.001 0.149327
0.0405 0.001 0.182084
0.0415 0.001 0.134676
0.0425 0.001 0.127658
0.0435 0.001 0.179027
0.0445 0.001 0.118384
0.0455 0.001 0.122094
0.0465 0.001 0.1981
0.0475 0.001 0.123849
0.0485 0.001 0.0874763
0.0495 0.001 0.105524
0.0505 0.001 0.130585
0.0515 0.001 0.103583
0.0525 0.001 0.117724
0.0535 0.001 0.152356
0.0545 0.001 0.0878124
0.0555 0.001 0.136934
0.0565 0.001 0.231496
0.0575 0.001 0.108672
0.0585 0.001 0.163902
0.0595 0.001 0.0798325
0.0605 0.001 0.150573
0.0615 0.001 0.153116
0.0625 0.001 0.164167
0.0635 0.001 0.143395
0.0645 0.001 0.0716099
0.0655 0.001 0.17086
0.0665 0.001 0.136465
0.0675 0.001 0.152112
0.0685 0.001 0.17902
0.0695 0.001 0.117679
0.0705 0.001 0.111084
0.0715 0.001 0.255811
0.0725 0.001 0.142492
0.0735 0.001 0.294361
0.0745 0.001 0.254894
0.0755 0.001 0.245465
0.0765 0.001 0.102001
0.0775 0.001 0.28053
0.0785 0.001 0.266541
0.0795 0.001 0.145799
0.0805 0.001 0.397217
0.0815 0.001 0.192932
0.0825 0.001 0.190968
0.0835 0.001 0.212275
0.0845 0.001 0.379661
0.0855 0.001 0.489376
0.0865 0.001 0.44794
0.0875 0.001 0.226221
0.0885 0.001 0.36423
0.0895 0.001 0.473954
0.0905 0.001 0.645935
