# First line is two numbers 
#     First value is '2', it means 'histogram mode'
#     Second value is 'Emin' of the histogram
# Other lines : 2 columns. 1) energy 2) Bin Width 2) frequency (nb divided by NbEvent)
# Number of bins = 1000
# Content below the first bin: 0
# Content above the last  bin: 0
# Number of events: 19993156
2 0
0.0005 0.001 81507.1
0.0015 0.001 45231
0.0025 0.001 45408.7
0.0035 0.001 35495.4
0.0045 0.001 35618.2
0.0055 0.001 36535.6
0.0065 0.001 31823
0.0075 0.001 33921.4
0.0085 0.001 31920.7
0.0095 0.001 31947
0.0105 0.001 33630.1
0.0115 0.001 32034.8
0.0125 0.001 33482.7
0.0135 0.001 31346.7
0.0145 0.001 31234.8
0.0155 0.001 33100.5
0.0165 0.001 31479.2
0.0175 0.001 30856.1
0.0185 0.001 30065
0.0195 0.001 31348
0.0205 0.001 28780.5
0.0215 0.001 29037.8
0.0225 0.001 30417.3
0.0235 0.001 31016.3
0.0245 0.001 29680.9
0.0255 0.001 29635.3
0.0265 0.001 31043.4
0.0275 0.001 30414.2
0.0285 0.001 30972.8
0.0295 0.001 31845.5
0.0305 0.001 31813.9
0.0315 0.001 31445.5
0.0325 0.001 32753.4
0.0335 0.001 31520.5
0.0345 0.001 32298.1
0.0355 0.001 33785.6
0.0365 0.001 32043.9
0.0375 0.001 33711.2
0.0385 0.001 32896.7
0.0395 0.001 35111.5
0.0405 0.001 34555.4
0.0415 0.001 36664.7
0.0425 0.001 33265.2
0.0435 0.001 34903.3
0.0445 0.001 37670.5
0.0455 0.001 35366.1
0.0465 0.001 35722.5
0.0475 0.001 35399
0.0485 0.001 35995.8
0.0495 0.001 35668.1
0.0505 0.001 35244.8
0.0515 0.001 37828.8
0.0525 0.001 36604.4
0.0535 0.001 37364
0.0545 0.001 36721.7
0.0555 0.001 36994
0.0565 0.001 37621.2
0.0575 0.001 36514.2
0.0585 0.001 39066.8
0.0595 0.001 37147.4
0.0605 0.001 38127.2
0.0615 0.001 38022.4
0.0625 0.001 38411.8
0.0635 0.001 38800.9
0.0645 0.001 37865.8
0.0655 0.001 36876.4
0.0665 0.001 38416.6
0.0675 0.001 42105.4
0.0685 0.001 40651.3
0.0695 0.001 39856.9
0.0705 0.001 40861.9
0.0715 0.001 40143.7
0.0725 0.001 37317.5
0.0735 0.001 39338.3
0.0745 0.001 39370.9
0.0755 0.001 41195.2
0.0765 0.001 41109.6
